uen,hdb_registration_no,company_name,address,postal_code,email_address,contact_no
28713000B ,HB-01-0014E    ,CHUAN TONG TRADING CO                                                                               ,2 Jurong East St. 21 # 03-28C IMM Building,609601,CTGPL@HOTMAIL.COM                                 ,66658366
37111300L ,HB-01-0022B    ,CHIAT CHEE RENOVATION CONSTRUCTION & CLEANING SERVICE                                               ,38 DEFU LANE 10 # 02-11 ,539215,ASL_CC@YAHOO.COM.SG                               ,62098692
32319100B ,HB-01-0026F    ,BANTILES RENOVATION                                                                                 ,228 Lor 8 Toa Payoh # 05-162 ,310228,KOHSINFOO888@GMAIL.COM                            ,62500752
201209970W,HB-01-0031B    ,3 E DESIGN PTE. LTD.                                                                                ,61 UBI ROAD 1 # 01-06 OXLEY BIZHUB,408727,GERALDLHY@HOTMAIL.COM                             ,63650056
30659200B ,HB-01-0035F    ,ENG TAI CHONG CONTRACTOR                                                                            ,658 JALAN TENAGA # 08-162 ,410658,ENGTAICHONG@YAHOO.COM.SG                          ,68425955
199002928Z,HB-01-0036Z    ,CAMS DESIGN PTE LTD                                                                                 ,261 WATERLOO ST # 03-23 WATERLOO CENTRE,180261,DORIS@CAMSDESIGN.SG                               ,63370831
34767900E ,HB-01-0040B    ,DONWELL RENOVATION CONTRACTOR                                                                       ,635 Veerasamy Road # 10-158 ,200635,DONWELLRENO@GMAIL.COM                             ,97347236
37904600L ,HB-01-0042H    ,GOLDEN BRICKS BUILDING CONTRACTOR                                                                   ,108 HOUGANG AVE 1 # 01-1297 ,530108,GOLDENBRICKS888@GMAIL.COM                         ,62810507
24706300B ,HB-01-0049B    ,CHONG GAY GENERAL CONTRACTOR                                                                        ,1014 GEYLANG EAST AVE 3 # 01-216 ,389729,CGCONTRACTOR@SINGNET.COM.SG                       ,67441897
06583200X ,HB-01-0053F    ,ASIA RENOVATION CONTRACTOR                                                                          ,59 NEW UPPER CHANGI RD # 01-1274 ,461059,ASIARENO@GMAIL.COM                                ,64498517
199300067G,HB-01-0078H    ,BONAVENTURE (86) PTE LTD                                                                            ,48 TOH GUAN RD EAST # 07-125 ENTERPRISE HUB,608586,ENQUIRY@BONAVENTURE.COM.SG                        ,63687873
33736000J ,HB-01-0081Z    ,EPCOT GENERAL CONTRACTOR                                                                            ,25A Hillview Avenue # 05-11 Glendale Park,669617,MARINA_ZAI@YAHOO.COM.SG                           ,66336079
28266200J ,HB-01-0082A    ,ENG CHONG GENERAL CONTRACTOR                                                                        ,387A CHANGI ROAD # - ,419836,ENGCHONG.GC@HOTMAIL.SG                            ,64459658
09527100K ,HB-01-0083D    ,AH BEE CONTRACTOR                                                                                   ,387 CHANGI RD # - ,419836,LUACHENGZI@GMAIL.COM                              ,68444983
201542553R,HB-01-0089F    ,CHEONG TECK GENERAL CONTRACTOR PTE. LTD.                                                            ,5 coleman St # 02-17 The Excelsior,179805,NGCT1954@SINGNET.COM.SG                           ,63154760
29587700J ,HB-01-0108Z    ,FONG AIK FURNITURE DECORATION                                                                       ,57 UBI AVENUE 1 # 07-12 UBI CENTRE,408936,EBM92@SINGNET.COM.SG                              ,67468492
37512700C ,HB-01-0113E    ,ARI GENERAL CONTRACTOR                                                                              ,1 BROOKE ROAD # 02-39 KATONG PLAZA,429979,ARIGENERAL@YAHOO.COM.SG                           ,63466856
200607013Z,HB-01-0133C    ,CHERN HOCK RENOVATION & TRDG CONTR PTE LTD                                                          ,27 Carisbrooke Grove # - ,558800,CHARLIE@HYLAND.COM.SG                             ,63564003
32736400M ,HB-01-0135Z    ,CHAN SOON HENG ENTERPRISE                                                                           ,190 MIDDLE ROAD # 03-22 FORTUNE CENTRE,188979,CHAN_SOON_HENG_ENT@HOTMAIL.COM                    ,63000893
200807831G,HB-01-0151C    ,DOUGLAS INTERIOR DECORATORS PTE. LTD.                                                               ,3016 BEDOK NORTH AVENUE 4 # 03-31 EASTECH,489947,DOULIMHK@SINGNET.COM.SG                           ,62140778
10592400L ,HB-01-0190A    ,ANG THYE HONG CONSTRUCTION WORKS                                                                    ,756 Upper Serangoon Road # 03-16 Upper Serangoon Shopping Centre,534626,ATHCONST@SINGNET.COM.SG                           ,62886100
198501063C,HB-01-0203E    ,ANG STAR RENOVATION & TRADING PTE LTD                                                               ,61 TELOK BLANGAH HEIGHTS # 01-91 ,100061,LYNDA242@YAHOO.COM                                ,62739723
35470800K ,HB-01-0212E    ,CHWEE TAT TRADING ENTERPRISE                                                                        ,319 JURONG EAST ST 31 # 05-50 ,600319,DONUT_FEN@YAHOO.COM.SG                            ,91801312
38781900B ,HB-01-0219G    ,ACCORD DESIGN & DECORATION                                                                          ,13 LOR 8 TOA PAYOH # 05-04 BRADDELL TECH,319261,HAINEI@SINGNET.COM.SG                             ,62545009
199406222M,HB-01-0222H    ,CITIMAC RENOVATION PTE LTD                                                                          ,865 MOUNTBATTEN RD # 01-20 KATONG SHOPPING CTR,437844,CITIMACKEVIN@GMAIL.COM                            ,64473283
29347700X ,HB-01-0228G    ,BEAUTIFUL CITY CONSTRUCTION & TRADING                                                               ,305 UBI AVE 1 # 01-161 ,400305,YEOCHEEWEESG@GMAIL.COM                            ,67440938
31311100J ,HB-01-0245D    ,ENG HWEE INTERIOR RENOVATION                                                                        ,111 NORTH BRIDGE ROAD # 21-01 PENINSULA PLAZA,179098,HOEENGHWEE@GMAIL.COM                              ,63889788
